FROMCOMID,TOCOMID
10563786,10563656
10563840,10565050
10565050,10563786
10563744,10563656
10565048,10563786
10563814,10565048
10563806,10565048
10563578,10563548
10563478,10564988
10563650,10565194
10563726,10563650
10565054,10565200
10563652,10563650
10563662,10563652
10563644,10563652
10565052,10565332
10563844,10565052
10563826,10565052
10563570,10565192
10565046,10563594
10565088,10565098
10565074,10565088
10564172,10565074
10564122,10564172
10564090,10564122
10565076,10565088
10564170,10565074
10564092,10564122
10564266,10565128
10565246,10564266
10564212,10564234
10564190,10564212
10564048,10564134
10564134,10564190
10564194,10564212
10564136,10564190
10564218,10564246
10564236,10564268
10564160,10564236
10563412,10563408
10563436,10563412
10563516,10563436
10563448,10563412
10563632,10563436
10563588,10563512
10563638,10563550
10563678,10563598
10563776,10563702
10565032,10563776
10563864,10565032
10563778,10563776
10565030,10565032
10565034,10563736
10563894,10565034
10563830,10565036
10565036,10563768
10563952,10563922
10563922,10563830
10563852,10563830
10563992,10565202
10563990,10565038
10565202,10563990
10563962,10563880
10563986,10563916
10563882,10563884
10563872,10563870
10563712,10563708
10563710,10563712
10563718,10563712
10563658,10563718
10563694,10563718
10565040,10563694
10563686,10563694
10563668,10563686
10563666,10563686
10563592,10563600
10563484,10563592
10563490,10563592
10563522,10563552
10563466,10563522
10563466,10563468
10563468,10563462
10564216,935140091
10564214,10564216
10564210,10564214
10564204,10564210
10564204,10564208
10564180,10564204
10564114,10564180
10564270,10564216
10565242,10564270
10564178,10564204
10564188,10564178
10564174,10564178
10564208,10564214
10563422,10563424
10563508,10563510
10563868,10563904
10563904,10563914
10563470,10563352
10564376,10565098
10563450,10563422
10563504,10563508
10564986,10563352
10563858,10563868
10565128,10565098
10564350,10565104
10564296,10564308
10563896,10563904
10563798,10563794
10563788,10563630
10563572,10563564
10563714,10563564
10563442,10563440
10563452,10563440
24825836,10565266
24825838,10565266
24825852,10563572
10565210,10564408
10565216,10565212
10565218,10565214
10565220,10565212
10565344,10565214
10565214,10565210
10565212,10565210
10565340,10565342
10565342,10564154
10565208,10565342
10565348,10565228
10565230,10565228
10565228,10564754
10565234,10565232
10565350,10565232
10565232,10564748
10565336,10565204
10565334,10565204
10565204,10563856
10565266,10565268
10565338,10565268
10565268,10564096
10565194,10565190
10565192,10565190
10565190,10563478
10565332,10565198
10565200,10565198
10565198,10563726
24825844,24825852
24825846,24825844
24825848,24825844
1841445,1841447
1841431,1841437
1841427,1841431
1841427,1841429
1841439,1841445
1841437,1841439
1841423,1841427
1841419,1841423
1841127,1841413
1841413,1841419
1841163,1841127
1841373,1841163
1841191,1841373
1841193,1841191
1841201,1841193
1841217,1841201
1841221,1841217
1839297,1841221
1839303,1839297
1839355,1839303
1839379,1839355
1839379,1839349
1839407,1839379
1839453,1839407
1839497,1839453
1839615,1839497
1839673,1839615
1841801,1839673
1841157,1841163
1841367,1841417
1841417,1841157
1839021,1841093
1841093,1841367
1839023,1839021
1839015,1839023
1839033,1839015
1839057,1839033
1839083,1839057
1839149,1839083
1839371,1839149
1841415,1841419
1841401,1841403
1841397,1841401
1841403,1841415
1841391,1841397
1839941,1839947
1839947,1841387
1841387,1841391
1839931,1839941
1839951,1839939
1839953,1839951
1839939,1839935
1839935,1839931
1839963,1839957
1839957,1839953
1839967,1839963
1839973,1839967
1839991,1839985
1839977,1839971
1839981,1839977
1839971,1839973
1839985,1839981
1839045,1839013
1839107,1839045
1839147,1839107
1839147,1839105
1839879,1839147
1839365,1839879
1840091,1839365
1839435,1840091
1839445,1839435
1839481,1839445
1839995,1839991
1840007,1840001
1840009,1840007
1840025,1840009
1840001,1839995
1839219,1840031
1840031,1840025
1839255,1839219
1839319,1839255
1839393,1839319
1839439,1839393
1839443,1839439
1839507,1840109
1839461,1839443
1840107,1839461
1840109,1840107
1839519,1839507
1839549,1839519
1839555,1839549
1839561,1839555
1839569,1839561
1839653,1839569
1839679,1839653
1841813,1839679
1841815,1841813
1839551,1839519
1839557,1839551
1839593,1839557
1839599,1839593
1839597,1839599
1839605,1839597
1839605,1839595
1839623,1839605
1839631,1839623
1839631,1839621
1839669,1839631
1841789,1841783
1841793,1841789
1841793,1841787
1841803,1841793
1841821,1841819
1841819,1841803
1840041,1840029
1839357,1840049
1840049,1840041
1839889,1839357
1839541,1839889
1840053,1840043
1840043,1840041
1840057,1840053
1840069,1840057
1840099,1840103
1840103,1840105
1840087,1840099
1840079,1840087
1840061,1840079
1840027,1840029
1839195,1840015
1840015,1840027
1839187,1839195
1839037,1839187
1838997,1839037
1838991,1838997
1838983,1838991
1838913,1838983
1839159,1840017
1840017,1840021
1839139,1839159
1839133,1839139
1839871,1839133
1839089,1839871
1839047,1839089
1839029,1839047
1838901,1839029
1838895,1838901
1838881,1838895
1838827,1838881
1838811,1838827
1838805,1838811
1838797,1838805
1838795,1838797
1838793,1838795
1839849,1838793
1838781,1839849
1838779,1838781
1838767,1838779
1839853,1838767
1840135,1839853
1839827,1839929
1839929,1839941
1838773,1839827
935140066,1841441
1841273,935140067
1841441,1841445
935140067,935140068
935140068,935140066
1841265,1841273
1841255,1841265
1841245,1841255
1841239,1841245
1841375,1841239
1841375,1841241
1839173,1839195
1839069,1839173
1838973,1839069
1838907,1838973
1841425,1841427
1841229,1841425
1841225,1841229
1841213,1841225
1841183,1841213
1841159,1841183
1841145,1841159
1841109,1841145
1841451,1841109
1841153,1841421
1841421,1841423
1841105,1841153
1841089,1841105
1841077,1841089
1841061,1841077
1841031,1841061
1839031,1839047
1839001,1839031
1838963,1839001
1838929,1838963
1838889,1838929
1838863,1838889
1839013,1840003
1840003,1839991
1839025,1839013
1839881,1839025
1839363,1839881
1839419,1839363
1838933,1839959
1839959,1839953
1839049,1838933
1839217,1839115
1839115,1839049
1839891,1839393
1839413,1839891
1839441,1840089
1840089,1839413
1839455,1839441
1839463,1839455
1839487,1839463
1839511,1839487
1839539,1839511
1839563,1839539
1839607,1839563
1841377,1841263
1841233,1841377
1841261,1841275
935140064,935140065
1841277,1841285
1841283,935140069
935140069,935140048
1841285,935140069
1839813,1838753
1839835,1838701
1838757,1838701
1839821,1838757
1838777,1838757
1839845,1839835
1839857,1838789
1838801,1838787
1838873,1838859
935140061,935140060
1841263,1841273
1841243,1841255
1841237,1841243
1841235,1841243
1841219,1841235
1841125,1841207
1841207,1841219
1841467,1841209
1841223,1841235
1841241,1841245
1841249,1841433
1841429,1841249
1841433,1841437
1841187,1841213
1841155,1841183
1841139,1841155
1841111,1841145
1841147,1841159
1841135,1841169
1841137,1841169
1841227,1841229
1841205,1841227
1841197,1841205
1841171,1841197
1841141,1841171
1841195,1841205
1841131,1841161
1841461,1841131
1841133,1841161
1841165,1841175
1841463,1841165
1841465,1841167
1841167,1841175
1841143,1841171
1841173,1841197
1841151,1841173
1841149,1841173
1841099,1841103
1841103,1841153
1841071,1841099
1841065,1841071
1841471,1841065
1841047,1841471
1841475,1841065
1841059,1841475
1841049,1841471
1841067,1841071
1841073,1841099
1841053,1841073
1841055,1841073
1841063,1841077
1841085,1841089
1841029,1841399
1841399,1841401
1841473,1841393
1841025,1841473
1841393,1841397
1841363,1841025
1841015,1841025
1841027,1841015
1841023,1841015
1841021,1841389
1841389,1841391
1841017,1841021
1841019,1841021
1838809,1839943
1839943,1839947
1838717,1838727
1838745,1838717
1838759,1838745
1838751,1838745
1838719,1838691
1838723,1838693
935140062,1838737
935140063,935140062
1838847,935140063
1838741,1838737
1838743,1838741
1839817,1838741
1839815,1839817
1838747,1839815
1838785,1839815
1839839,1838785
1839837,1838785
1839809,1839817
1838749,1838703
1838733,1838699
1838725,1838699
1838739,1838703
1838735,1838639
1839825,1839827
1838813,1839927
1839927,1839931
1838831,1839933
1839933,1839935
1838837,1839937
1839937,1839939
1838857,1839949
1839949,1839951
1838867,1839955
1839955,1839957
1838899,1839961
1839961,1839963
1838869,1838899
1838871,1838899
1838911,1839965
1839965,1839967
1839969,1839971
1838923,1839969
1838935,1839975
1839975,1839977
1838951,1839979
1839979,1839981
1838957,1839983
1839983,1839985
1838989,1839993
1839993,1839995
1838925,1838989
1838921,1838925
1838919,1838925
1838927,1838989
1840145,1838927
1839005,1839997
1839999,1840001
1839997,1839999
1839865,1840005
1840005,1840007
1839137,1839159
1839131,1839139
1840153,1839131
1839111,1839133
1839087,1839871
1838905,1839029
1840143,1838905
1838893,1838901
1838853,1838827
1838821,1838811
1838825,1838821
1838845,1838825
1838851,1838845
1838839,1838851
1838819,1838839
1838855,1838821
1840139,1838855
1838841,1838851
1838807,1838839
1838843,1838845
1840137,1838817
1838817,1838843
1838815,1838843
1838835,1838825
1838803,1838805
1838791,1838795
1839851,1838781
1838763,1838767
1838769,1838779
1838783,1839849
1839847,1838793
1839843,1838797
1839841,1838827
1838829,1838881
1838883,1838895
1838865,1838889
1840141,1838865
1839859,1838963
1839861,1839001
1839003,1839031
1839863,1839089
1838981,1838991
1838959,1838981
1838961,1838981
1838915,1838983
1838993,1838997
1838999,1839037
1839039,1839187
1838971,1839069
1838909,1838973
1839071,1839173
1838967,1839071
1838965,1839071
1839257,1840051
1840051,1840053
1839253,1839257
1840011,1839231
1839231,1839253
1839171,1840011
1840155,1839171
1839251,1839257
1839233,1839253
1840159,1839233
1839265,1840055
1840055,1840057
1839295,166899405
1839273,1839295
1839245,1839273
1839263,1839245
1839315,166899405
1839271,1839295
1839221,1839245
1840157,1839221
1839261,1839265
1839179,1839261
1839163,1839179
1839119,1839163
1839213,1839261
1839161,1839179
1839155,1839161
1839153,1839161
1839097,1839153
1839041,1839097
1839043,1839097
1839011,1839043
1839009,1839043
1839099,1839153
1839121,1839163
1839335,1840067
1840067,1840069
1839389,1840071
1839425,1839389
1840093,1839425
1839893,1840093
1840081,1839893
1839437,1840081
1839449,1839389
1839275,1840037
1840037,1840047
1839351,1840045
1840045,1840061
1839329,1839351
1839383,1839329
1839339,1839329
1839317,1839351
1839427,1840059
1840059,1840079
1839459,1840073
1840073,1840077
1840077,1840087
1839515,1839459
1839457,1839459
1839531,1840083
1840085,1840099
1840083,1840085
11896750,11896706
11896768,11896750
11896768,11896754
11896860,24769009
11896856,11896860
11896858,11896856
11896844,11896858
11898046,11896768
11896840,11898046
11896878,11896840
11896924,11896878
11896980,11896924
11897018,11896980
11897034,11897018
11897044,11897034
11897094,11897044
11897124,11897094
11897140,11897124
11897146,11897140
11897146,11897138
11897156,11897146
11897258,11897156
11897328,11897258
11897372,11897328
11898122,11897372
11898130,11898122
11898134,11898130
11898048,11896768
11897394,11897362
11897444,11897394
11897512,11897444
11897516,11897512
11897564,11897516
11897604,11897586
11897586,11897564
11898784,11898774
11897202,11897146
11897200,11897202
11897214,11897200
11897220,11897214
11897220,11897230
11898108,11897220
11897222,11898108
11897216,11897222
11897286,11897216
11897352,11897286
11897386,11897362
11898198,11897386
11897418,11897390
11897390,11898198
11897038,11897018
11897004,11897038
11896998,11897004
11896990,11896998
11897014,11896990
11897008,11897014
11898092,11897008
11896978,11898092
11896966,11896978
11896940,11896958
11896958,11896966
11896698,11896668
11896698,11896652
11896724,11896698
11896724,11896696
11896684,11896650
11896762,11896746
11896746,11896724
11896766,11896762
11896764,11896762
11896696,11896666
11896816,11898046
11898044,11896816
11898042,11896816
11896842,11896840
11896832,11896842
11898040,11896832
11896826,11896832
11896900,11896878
11896896,11896900
11896898,11896900
11896884,11896898
11896882,11896898
11897002,11897038
11896928,11896996
11896996,11897004
11896922,11896928
11896926,11896928
11896984,11896998
11897006,11897014
11896976,11898092
11896962,11896978
11896956,11896966
11898094,11897008
11897042,11896990
11897076,11897044
11898274,11897076
11897196,11897200
11897150,11897196
11897120,11897150
11897114,11897120
11897148,11897196
11897116,11897120
11898104,11897150
11898106,11897220
11897210,11897222
11897188,11897210
11897160,11897178
11897178,11897188
11897186,11897210
11897176,11897188
11897198,11897216
11897182,11897198
11897184,11897198
11897190,11897184
11897204,11897190
11897248,11897190
11897308,11897248
11897278,11897248
11897252,11898108
11898196,11897252
11897284,11898196
11897230,11897228
11897314,11897228
11897228,11897202
11898120,11898122
11897384,11897368
11897368,11898120
11897358,11898120
11897428,11898130
11897410,11897372
11897440,11897410
11897514,11897440
11897544,11897514
11897496,11897440
11897436,11897410
11897484,11897436
11897376,11897328
11897332,11897258
11897318,11897238
11897238,11897156
11897138,11897124
11897224,11897094
11897302,11897226
11897226,11897224
11897330,11897224
11897058,11897034
11897130,11897058
11897132,11897130
11897172,11897132
11897134,11897086
11897086,11897058
11897162,11897132
11897036,11896980
11897136,11897090
11897090,11897036
11897088,11897036
11896932,11896924
11896982,11896932
11897072,11897050
11897126,11897066
11897246,11897242
11897326,11897350
11897446,11897444
11897442,11897446
11897482,11897508
11897508,11897516
11897608,11897564
11897720,11897608
11897662,11897608
11897540,11897512
11897578,11897540
11897546,11897540
11897494,11897394
11897538,11897494
11897628,11897600
11897656,11897628
11897748,11897656
11897756,11897748
11897766,11897756
11897836,11897766
11897848,11898260
11899012,11897854
11897852,11897848
11898708,11899012
11897854,11897852
11897642,11897640
11897640,11897628
11897670,11897672
11897672,11897656
11898282,11897670
11897758,11897756
11897780,11897766
11898722,11897858
11897858,11898262
11898710,11897856
11897856,11897848
11898750,11898728
11898728,11898710
11898724,11898710
11898748,11898724
11897786,11897748
11897820,11897786
11897832,11897820
11898256,11897832
11897864,11898256
11898730,11897864
11898758,11898730
11898718,11897860
11897860,11897786
11898998,11898718
11898742,11898998
11898752,11898742
11898768,11898752
11898778,11898752
11898746,11898742
11898782,11898746
11898754,11898730
11897818,11897820
11897674,11897600
11897740,11897712
11898796,11898774
11898802,11898792
11896854,11896860
11896866,11896858
11896890,24769009
935110058,11896724
935110059,935110058
11896754,11896736
11898038,935110059
24769009,935110033
24769011,935110033
24769007,24769011
